ID,title,num_pages,author,rating,ratings_count,text_reviews_count,language
2791782,With Clive in India,,G.A. Henty,3.46,7,0,eng
4442889,Treasure of the Land of Darkness: The Fur Trade and Its Significance for Medieval Russia,288,Janet Martin,4.25,3,0,eng
4155294,Applying Psychology To Sport (Applying Psychology To...),192,Barbara Woods,4.00,5,0,eng
6362916,Nobody's Hero,229,Diana Bold,4.07,6,1,eng
6169652,Q.E.D. Shōmei Shūryō 26,,Motohiro Katou,4.13,2,0,eng
6351290,O Primeiro Amor,,Francesco Alberoni,3.70,23,1,por
7861405,Unknown Book 7861405,,Unknown,5.00,1,0,eng
1245562,The Red Ripper: Inside The Mind Of Russia's Most Brutal Serial Killer,,Peter Conradi,3.67,8,0,eng
2390660,Delicate Dance,143,Sheila M. Murphy,3.00,1,0,eng
308950,The Arena,227,John Preston,4.00,5,1,eng
474433,Paradise Lost: A Student's Companion to the Poem,164,Francis C. Blessington,3.33,3,0,eng
6164407,Dracula,404,Bram Stoker,3.99,27,0,eng
7456862,The Opposite of Fate,,Amy Tan,3.92,1,0,eng
7202151,Soldaten Zwischen Nationalen Fronten: Die Auflosung Der Militargrenze Und Die Entwicklung Der Koniglich-Ungarischen Landwehr (Honved) in Kroatien-Slawonien 1868-1914,262,Catherine Horel,4.50,2,0,eng
3747663,Little Dorritt,,Charles Dickens,3.99,44,2,eng
2020407,Van Gogh (Mini Essential Art S.),,Josephine Cutts,4.28,16,1,eng
2520695,هرگز به غریبه دل مبند,,هارولد رابینز,4.27,15,0,eng
261835,Cyrano the Bear,32,Nicole Rubel,2.75,4,1,eng
934203,"Le Procès Des étoiles. Récit De La Prestigieuse Expédition De Trois Savants Français En Amérique Du Sud, 1735 1771",336,Florence Trystram,4.14,20,2,fre
7897683,Focus On Flies,32,Norma Dixon,3.00,1,0,eng
377622,The Seven Last Words from the Cross,91,Fleming Rutledge,4.15,59,5,eng
790234,The Handling of Timescales in Assessing Post-Closure Safety of Deep Geological Repositories (Radioactive Waste Management),,Organisation for Economic Co-operation and Development,5.00,1,0,eng
288380,Pablo Neruda. Por Las Costas Del Mundo,,Pablo Neruda,3.83,6,0,eng
952822,Romans (Geneva Commentaries Series) (Geneva Series Commentary),,Charles Hodge,4.16,3,1,eng
778971,The Wild Baby Goes to Sea,24,Barbro Lindgren,4.17,44,7,eng
2291765,Constructive Campaigning for Autism Services: The PACE Parents' Handbook,112,Armorer Wason,5.00,1,0,eng
7100750,Baseball Saved Us,32,Ken Mochizuki,4.23,1,0,eng
2266504,The Bluffer's Guide to Archaeology,92,Paul G. Bahn,4.15,4,1,eng
2102325,Philosophy of Nature,,Alan W. Watts,4.67,6,0,eng
2586683,Paido Paipā: Jiyū Eno Ekkyō,,Nevil Shute,4.20,1,0,jpn
52776,Alle Familien sind verkorkst / All Families Are Psychotic,,Douglas Coupland,3.67,11,1,eng
3393902,"The Tradition of Indian Architecture: Continuity, Change, and the Politics of Style Since 1850",166,Giles Tillotson,3.00,2,1,eng
6356513,Slow Seduction (The Men of CCD #2),260,Marie Rochelle,4.05,209,5,en-GB
6240229,أدب الحوار في الإسلام,126,محمد سيد طنطاوي,3.50,48,4,ara
1816685,The General's Tea Party,,Boris Vian,3.79,39,2,eng
4178147,"Victimology, Fifth Edition",450,William G. Doerner,3.87,4,0,eng
3049061,Hang-Ups!: The Secret Life of Clothes,,Gloria Heidi,3.00,2,1,eng
1758427,The Secrets Of A Lasting Marriage,,Virginia Woodard,4.00,1,0,eng
6339766,Those Who Exhaust All Their Pleasures In This Life,,Harun Yahya,3.67,3,1,eng
192449,Take the Kakuro Challenge: 200 Addictive Logic Puzzles,288,Hamlyn Publishing Group,4.18,11,0,eng
4677962,Separation/Individuation: Theory And Application,,Joyce Edward,4.00,1,0,eng
1524478,Sundance Kids,480,James Mottram,3.70,5,1,eng
123534,Chang and Eng,336,Darin Strauss,3.29,1631,210,eng
7714,Pygmalion,82,George Bernard Shaw,3.90,75956,1581,eng
7096113,Too Much Happiness (Platinum Fiction Series),431,Alice Munro,3.82,8,3,eng
3302415,City Colors,24,Zoran Milich,3.36,25,5,eng
4406190,Time And Chance: An Autobiography,,Peter  Townsend,3.36,2,0,eng
921621,Kant's Compatibilism,196,Hud Hudson,4.67,3,1,eng
6543894,Rahasia Yang Belum Terungkap,256,Chiung Yao (瓊瑤),3.57,61,1,ind
7520477,"12-Day Body Shaping Miracle: Change Your Shape, Transform Problem Areas, and Beat Fat for Good",,Michael Thurmond,3.31,3,0,eng
1253521,"I'm Tired Of Crying, It's Time to Laugh Again: Finding extravagant joy in the midst of everyday life!",172,Cathy Lechner,3.75,4,1,eng
2740030,"William and Air Raid Precautions (Just William, #21)",,Richmal Crompton,4.20,82,0,eng
317060,Practical LSD Manufacture,,Uncle Fester,3.98,50,4,eng
526829,Baby's Own Christmas Carols (Baby's Own Play-A-Song Books),10,Anonymous,5.00,2,0,eng
2692640,The Hunting Ground,96,Lise Tremblay,3.57,5,0,eng
1098052,Knock at a Star,148,Dorothy M. Kennedy,3.95,6,3,eng
2228865,Building Thoreau's Cabin,244,Stephen          Taylor,4.00,3,0,eng
1975471,The Void Captain's Tale,,Norman Spinrad,3.64,15,3,eng
4440785,Campbell's Potpourri I Of Quiz Bowl Questions,,John P. Campbell,4.00,2,0,eng
6251159,A Cuddle For Little Duck,20,Claire Freedman,4.10,140,17,eng
5395152,The Visibles,323,Sara Shepard,3.06,644,97,en-US
7082414,Out of My Mind: A Poetic Autobiography,260,Dollar Kidd,3.50,2,0,eng
1111091,Winds of change,184,Nadia Bogdaniel-Seluga,5.00,1,1,eng
2684742,Franklin Listens When I Speak,,Paula Underwood,5.00,3,0,eng
378781,Take Me Out of the Bathtub and Other Silly Dilly Songs,32,Alan Katz,4.13,21,3,en-US
1264070,De la cuádruple raíz del principio de razón suficiente,230,Arthur Schopenhauer,4.08,5,0,spa
6497371,"Rainbow Six, Book 1 (John Clark, #2 part 1)",512,Tom Clancy,4.19,395,18,eng
6471087,Heidi,,Johanna Spyri,3.98,27,1,eng
1308861,Jakarta Commons Cookbook,400,Timothy O'Brien,3.77,13,1,eng
4513223,The Star Principle: How It Can Make You Rich,272,Richard Koch,4.27,117,7,eng
6599795,照相本子: The Moments,128,Jimmy Liao,4.09,32,0,tha
4268001,Galeria de Seres Espantosos,,Lucía Laragione,3.00,2,1,eng
153348,Index Cixous: CIX Pax,112,Roni Horn,5.00,1,0,eng
1058127,For Love of the Game,160,Michael Shaara,3.85,4,1,eng
3843161,Ecce Romani 09 Level 1 Se,704,Gilbert Lawall,4.21,6,1,eng
2470592,"L'aromathérapie Exactement: Encyclopédie De L'utilisation Thérapeutique Des Huiles Essentielles:  Fondements, Démonstration, Illustration Et Applications D'une Science Médicale Naturelle",,P. Franchomme,3.83,5,0,eng
2436023,"Lawman's Brut, an Early Arthurian Poem: A Study of Middle English Formulaic Composition",334,Dennis Patrick Donahue,3.00,1,0,eng
331131,Handbook of Combinatorial Designs,984,Charles J. Colbourn,4.50,2,0,eng
1886091,Triplet Trouble and the Bicycle Race,,Debbie Dadey,3.40,10,2,eng
3239781,Feminism and the Technological Fix,184,Carol A. Stabile,3.50,2,0,eng
6098023,De vrome dans,205,Klaus Mann,3.59,2,0,nl
2113035,Dolls,,Tom Whalen,4.30,23,8,eng
6995731,Veronika decide morir,,Paulo Coelho,3.70,2,1,eng
2202148,"Dracula, împăratul răsăritului: gândirea politică și practica militară în epoca lui Vlad Țepeș : tradiție și originalitate",,Mircea Dogaru,5.00,1,0,eng
4105038,"Drink To Your Health: Delicious, Easy To Prepare Juices, Smoothies, Teas, Soups And Other Beverages That Deliver Vitality And Immunity",,Anita Hirsch,3.00,1,0,eng
4257649,La gimnasia de la gente felíz: Qi Gong,144,Ives Requena,3.00,1,0,eng
3582686,Riwayat Nabi Ibrahim  (seri Riwayat Nabi),,Ismail Pamungkas,5.00,3,0,ind
5474133,In the Cage: four goalie greats,,Sydelle Kramer,3.00,1,1,eng
447635,Cultural Diversity Sourcebook,520,Bob Abramms,4.00,1,0,eng
1590159,The Wealth of Nature: How Mainstream Economics Has Failed the Environment,336,Robert L. Nadeau,2.40,5,2,eng
135877,Weddings (Best of Martha Stewart Living),252,Martha Stewart,3.86,65,3,en-GB
84140,Night Embrace (Dark-Hunter #2),408,Sherrilyn Kenyon,4.25,29601,790,eng
1916977,"A War Of Nerves: Soldiers and Psychiatrists, 1914-1994",528,Ben Shephard,4.04,5,1,eng
